,,,,,Location,,,,,,,,,,,,,,,,cancer data,scArches mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level_1,Level_2,Level_3,Level_4,Level_5,Nasal,Bronchial,Parenchyma,Banovich_Kropski_2020,Barbry_Leroy_2020,Jain_Misharin_2021,Krasnow_2020,Meyer_2019,Lafyatis_Rojas_2019,Meyer_2021,Meyer_Nikolic_2021,Misharin_2021,Misharin_Budinger_2018,Nawijn_2021,Seibold_2020,Teichmann_Meyer_2019,Thienpont_2018,Kaminski_2020,Schiller2021,Banovich_Kropski_2020_disease,Regev2021,Misharin_Budinger_2018_disease,Eils_2020,Zhang2021,Sims2019,Sheppard_2020,Lafyatis2019,Shalek2018,PeerMassague2020,Budinger2021,Janssen2020,Wunderink2021,Xu2020,Gomperts2021,Lambrechts2021,BarbryX,Duong_lungMAP_unpubl,Sun_2020,,Suggested annotation depth for probesets,,Expected spatial location,,cell ontology curie,cell ontology label,organ ontology curie,organ ontology label
|,|,|,AT2 homeostatic,,,,,,,,,,,,,SC85_C11_AT2_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,AT2 homeostatic,,,,,,,,,,,,,SC85_C3_AT2_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,AT2 homeostatic,,,,,,,,,,,,,SC85_C4_AT2_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,AT2 activated,,,,,,,,,,,,,SC85_C6_AT2_6_activated_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,AT2 activated,,,,,,,,,,,,,SC85_C2_AT2_3_activated_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,AT2 activated,,,,,,,,,,,,,SC85_C12_AT2_8_activated_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,AT2 activated,,,,,,,,,,,,,SC85_C13_AT2_9_activated_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,Transitional AT2,,,,,Transitional AT2,,,,,,,,,,,,,,,,Transitional AT2,,,,,,,,,,,,,,,,,AT1.AT2,AT1/AT2-like,,,,,,,,,
|,|,|,Transitional AT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AT2/Club-like,,,,,,,,,
|,|,|,Signaling alveolar AT2,,,,,,,,Signaling Alveolar Epithelial Type 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,|,AT2 proliferating,,,,,,,,,,,Dividing_AT2,,,,,,,,,,,,,,,,,,,,,,,,,,,AT2 prolif,,,,,,,,,,
Endothelial,>,,,,,,,,Endothelial,,,,,,,,,,,,EC,,,,,,,,,Endothelial,,,,,,,,,,,,,,,,,,CL:1001567,lung endothelial cell,UBERON:0013479,lung endothelium
